type,No. bits,psnr,#REF!,0
ilqv,11409,79.0298,#REF!,0
ilqv,11537,78.8212,#REF!,0
ilqv,11665,78.8213,#REF!,0
ilqv,12305,78.8209,#REF!,0
ilqv,12433,79.0299,#REF!,0
ilqv,12561,79.0299,#REF!,0
ilqv,13585,78.8215,#REF!,0
ilqv,13713,78.8215,#REF!,0
ilqv,38033,79.8897,#REF!,0
ilqv,38417,79.8897,#REF!,0
ilqv,38929,79.8898,#REF!,0
ilqv,39313,79.8898,#REF!,0
ilqv,39569,79.2794,#REF!,0
ilqv,40593,79.2798,#REF!,0
ilqv,40721,79.8901,#REF!,0
ilqv,40849,79.8901,#REF!,0
ilqv,40977,79.8901,#REF!,0
ilqv,41233,79.2799,#REF!,0
ilqv,41489,79.8901,#REF!,0
ilqv,41617,79.28,#REF!,0
ilqv,42129,79.2801,#REF!,0
ilqv,42385,79.8901,#REF!,0
ilqv,42641,79.8901,#REF!,0
ilqv,42897,79.8901,#REF!,0
ilqv,43665,79.2787,#REF!,0
ilqv,43793,79.2787,#REF!,0
ilqv,44177,79.2787,#REF!,0
ilqv,44433,79.2787,#REF!,0
ilqv,44945,79.2788,#REF!,0
ilqv,45713,79.2788,#REF!,0
ilqv,46993,79.2788,#REF!,0
ilqv,47249,79.2788,#REF!,0
ilqv,47505,79.2788,#REF!,0
ilqv,47889,79.2795,#REF!,0
ilqv,48145,79.2795,#REF!,0
ilqv,137745,81.7426,#REF!,0
ilqv,139409,81.7429,#REF!,0
ilqv,141969,81.7433,#REF!,0
ilqv,143761,81.7434,#REF!,0
ilqv,144401,81.7435,#REF!,0
ilqv,147729,81.7369,#REF!,0
ilqv,148753,81.745,#REF!,0
ilqv,149393,81.745,#REF!,0
ilqv,149649,81.745,#REF!,0
ilqv,149777,81.745,#REF!,0
ilqv,149905,81.745,#REF!,0
ilqv,151057,81.7391,#REF!,0
ilqv,151185,81.745,#REF!,0
ilqv,153361,81.7397,#REF!,0
ilqv,154641,81.7452,#REF!,0
ilqv,155025,81.7452,#REF!,0
ilqv,155409,81.7452,#REF!,0
ilqv,155921,81.74,#REF!,0
ilqv,157073,81.7406,#REF!,0
ilqv,162577,81.7424,#REF!,0
ilqv,162961,81.7424,#REF!,0
ilqv,163985,81.7425,#REF!,0
ilqv,164625,81.7425,#REF!,0
ilqv,165521,81.7427,#REF!,0
ilqv,165905,81.7427,#REF!,0
ilqv,167313,81.7428,#REF!,0
ilqv,171665,81.7429,#REF!,0
ilqv,171921,81.7429,#REF!,0
ilqv,172561,81.7429,#REF!,0
ilqv,173585,81.7451,#REF!,0
ilqv,174225,81.7451,#REF!,0
